,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-18 13:30:00,False,7.6%, ,9.4%
1,2022-12-19 13:30:00,False,9.7%, ,10.1%
2,2022-11-18 13:30:00,False,10.1%, ,9.1%
3,2022-10-19 12:30:00,False,9.0%, ,10.2%
4,2022-09-19 12:30:00,False,10.6%, ,11.5%
5,2022-08-18 12:30:00,False,11.9%, ,14.3%
6,2022-07-20 12:30:00,False,14.3%, ,15.7%
7,2022-06-17 12:30:00,False,15.0%, ,16.4%
8,2022-05-19 12:30:00,False,16.4%, ,17.9%
9,2022-04-22 12:30:00,False,18.5%, ,15.8%
10,2022-03-22 12:30:00,False,16.4%, ,16.3%
11,2022-02-28 13:30:00,False,16.9%, ,15.9%
12,2022-01-31 13:30:00,False,16.1%, ,17.1%
13,2022-01-04 13:30:00,False,18.1%, ,16.7%
14,2021-11-29 13:30:00,False,16.7%, ,14.9%
15,2021-10-29 12:30:00,False,14.9%, ,14.3%
16,2021-09-29 12:30:00,False,14.3%, ,15.7%
17,2021-08-27 12:30:00,False,15.4%, ,17.2%
18,2021-07-30 12:30:00,False,16.8%, ,16.4%
19,2021-06-30 12:30:00,False,16.4%, ,14.3%
20,2021-05-31 12:30:00,False,14.3%, ,10.0%
21,2021-04-30 12:30:00,False,10.0%, ,7.1%
22,2021-03-31 12:30:00,False,7.1%, ,4.0%
23,2021-02-26 13:30:00,False,4.0%, ,1.8%
24,2021-01-29 13:30:00,False,1.8%, ,0.7%
25,2021-01-05 13:30:00,False,0.0%, ,0.7%
26,2020-11-30 13:30:00,False,0.7%, ,-2.2%
27,2020-10-30 12:30:00,False,-2.2%, ,-2.3%
28,2020-09-29 12:30:00,False,-2.3%, ,-2.3%
29,2020-08-31 12:30:00,False,-2.3%, ,-3.3%
30,2020-07-31 12:30:00,False,-3.1%, ,-4.9%
31,2020-06-29 12:30:00,False,-4.9%, ,-6.0%
32,2020-05-29 12:30:00,False,-6.0%, ,-3.0%
33,2020-04-30 12:30:00,False,-2.4%, ,-0.3%
34,2020-03-31 12:30:00,False,-0.3%, ,0.5%
35,2020-02-28 13:30:00,False,0.5%, ,0.5%
36,2020-01-31 13:30:00,False,0.3%, ,-0.6%
37,2020-01-06 13:30:00,False,-0.4%, ,-1.4%
38,2019-11-29 13:30:00,False,-1.3%, ,-1.3%
39,2019-10-31 12:30:00,False,-1.3%, ,-1.0%
40,2019-09-30 12:30:00,False,-1.0%, ,-1.7%
41,2019-08-30 12:30:00,False,-1.7%, ,-1.7%
42,2019-07-31 12:30:00,False,-1.7%, ,0.4%
43,2019-06-28 12:30:00,False,0.6%, ,1.7%
44,2019-05-31 12:30:00,False,1.8%, ,1.5%
45,2019-04-30 12:30:00,False,1.5%, ,1.2%
46,2019-03-29 12:30:00,False,1.2%, ,1.0%
47,2019-02-28 13:30:00,False,1.0%, ,-2.0%
48,2019-01-31 13:30:00,False,2.2%, ,2.8%
49,2019-01-04 13:30:00,False,2.8%, ,5.2%
50,2018-11-30 13:30:00,False,5.3%, ,6.3%
51,2018-10-31 12:30:00,False,6.2%, ,5.7%
52,2018-09-28 12:30:00,False,5.8%, ,6.7%
53,2018-08-31 12:30:00,False,6.6%, ,5.3%
54,2018-07-31 12:30:00,False,5.1%, ,3.4%
55,2018-06-29 12:30:00,False,3.1%, ,2.3%
56,2018-05-30 12:30:00,False,2.4%, ,2.4%
57,2018-04-30 12:30:00,False,2.3%, ,2.3%
58,2018-03-29 12:30:00,False,1.9%, ,2.1%
59,2018-02-28 13:30:00,False,2.0%, ,2.3%
60,2018-01-31 13:30:00,False,2.2%, ,2.7%
61,2018-01-04 13:30:00,False,2.7%, ,1.7%
62,2017-11-28 13:30:00,False,1.8%, ,1.5%
63,2017-10-31 12:30:00,False,1.5%, ,2.3%
64,2017-09-29 12:30:00,False,1.9%, ,1.3%
65,2017-08-29 12:30:00,False,1.3%, ,3.1%
66,2017-07-31 12:30:00,False,3.3%, ,5.2%
67,2017-06-30 12:30:00,False,4.9%, ,6.3%
68,2017-05-30 12:30:00,False,6.3%, ,5.1%
69,2017-04-28 12:30:00,False,5.1%, ,3.6%
70,2017-03-30 12:30:00,False,3.5%, ,2.5%
71,2017-02-28 13:30:00,False,2.3%, ,2.3%
72,2017-01-31 13:30:00,False,2.2%, ,1.5%
73,2017-01-05 13:30:00,False,1.4%, ,0.8%
