,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-18 13:30:00,False,7.5%, ,7.9%
1,2022-12-19 13:30:00,False,8.0%, ,8.6%
2,2022-11-18 13:30:00,False,9.0%, ,12.7%
3,2022-10-19 12:30:00,False,11.0%, ,17.3%
4,2022-09-19 12:30:00,False,17.6%, ,19.1%
5,2022-08-18 12:30:00,False,19.1%, ,32.6%
6,2022-07-20 12:30:00,False,32.4%, ,37.6%
7,2022-06-17 12:30:00,False,37.4%, ,38.3%
8,2022-05-19 12:30:00,False,38.4%, ,42.6%
9,2022-04-22 12:30:00,False,42.7%, ,30.3%
10,2022-03-22 12:30:00,False,29.8%, ,30.5%
11,2022-02-28 13:30:00,False,30.5%, ,29.3%
12,2022-01-31 13:30:00,False,29.0%, ,37.6%
13,2022-01-04 13:30:00,False,36.2%, ,38.5%
14,2021-11-29 13:30:00,False,38.4%, ,31.9%
15,2021-10-29 12:30:00,False,31.9%, ,27.7%
16,2021-09-29 12:30:00,False,27.7%, ,37.9%
17,2021-08-27 12:30:00,False,37.7%, ,37.9%
18,2021-07-30 12:30:00,False,38.1%, ,40.1%
19,2021-06-30 12:30:00,False,40.1%, ,56.4%
20,2021-05-31 12:30:00,False,56.4%, ,34.7%
21,2021-04-30 12:30:00,False,34.7%, ,17.1%
22,2021-03-31 12:30:00,False,17.1%, ,6.2%
23,2021-02-26 13:30:00,False,6.2%, ,-0.7%
24,2021-01-29 13:30:00,False,-0.7%, ,-1.7%
25,2021-01-05 13:30:00,False,-1.7%, ,-0.3%
26,2020-11-30 13:30:00,False,-0.3%, ,-9.4%
27,2020-10-30 12:30:00,False,-9.4%, ,-7.6%
28,2020-09-29 12:30:00,False,-7.6%, ,-12.1%
29,2020-08-31 12:30:00,False,-12.1%, ,-13.5%
30,2020-07-31 12:30:00,False,-13.5%, ,-24.3%
31,2020-06-29 12:30:00,False,-24.3%, ,-36.6%
32,2020-05-29 12:30:00,False,-36.7%, ,-22.7%
33,2020-04-30 12:30:00,False,-22.7%, ,-5.9%
34,2020-03-31 12:30:00,False,-5.9%, ,1.7%
35,2020-02-28 13:30:00,False,1.7%, ,7.8%
36,2020-01-31 13:30:00,False,7.9%, ,9.1%
37,2020-01-06 13:30:00,False,9.3%, ,-5.1%
38,2019-11-29 13:30:00,False,-5.0%, ,-5.3%
39,2019-10-31 12:30:00,False,-5.3%, ,-6.1%
40,2019-09-30 12:30:00,False,-6.0%, ,-8.9%
41,2019-08-30 12:30:00,False,-9.0%, ,-9.4%
42,2019-07-31 12:30:00,False,-9.2%, ,-3.0%
43,2019-06-28 12:30:00,False,-2.8%, ,3.2%
44,2019-05-31 12:30:00,False,3.2%, ,-1.5%
45,2019-04-30 12:30:00,False,-1.5%, ,-2.1%
46,2019-03-29 12:30:00,False,-0.6%, ,-5.1%
47,2019-02-28 13:30:00,False,-5.5%, ,-5.8%
48,2019-01-31 13:30:00,False,-5.8%, ,-10.0%
49,2019-01-04 13:30:00,False,-9.9%, ,7.7%
50,2018-11-30 13:30:00,False,7.7%, ,14.5%
51,2018-10-31 12:30:00,False,14.6%, ,15.4%
52,2018-09-28 12:30:00,False,15.5%, ,22.2%
53,2018-08-31 12:30:00,False,22.0%, ,20.2%
54,2018-07-31 12:30:00,False,20.1%,-0.5%,15.1%
55,2018-06-29 12:30:00,False,15.1%, ,9.0%
56,2018-05-30 12:30:00,False,8.9%,-0.5%,10.0%
57,2018-04-30 12:30:00,False,10.0%, ,5.9%
58,2018-03-29 12:30:00,False,5.9%, ,7.8%
59,2018-02-28 13:30:00,False,7.7%, ,6.2%
60,2018-01-31 13:30:00,False,6.2%, ,13.9%
61,2018-01-04 13:30:00,False,14.2%, ,6.6%
62,2017-11-28 13:30:00,False,6.6%, ,6.2%
63,2017-10-31 12:30:00,False,6.3%, ,6.3%
64,2017-09-29 12:30:00,False,6.1%, ,4.2%
65,2017-08-29 12:30:00,False,4.5%, ,2.3%
66,2017-07-31 12:30:00,False,2.2%, ,8.4%
67,2017-06-30 12:30:00,False,8.0%, ,17.7%
68,2017-05-30 12:30:00,False,17.7%, ,16.7%
69,2017-04-28 12:30:00,False,16.6%, ,23.9%
70,2017-03-30 12:30:00,False,23.7%, ,23.0%
71,2017-02-28 13:30:00,False,23.0%, ,17.2%
72,2017-01-31 13:30:00,False,17.2%, ,4.4%
73,2017-01-05 13:30:00,False,4.1%, ,1.5%
