Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2022-12-01 13:30:00,False,0.6%,0.3%,0.1%,0.3
2022-09-02 12:30:00,False,0.2%, ,-0.6%,
2022-06-03 12:30:00,False,-0.5%,-0.5%,-0.6%,0.0
2022-03-04 13:30:00,False,-0.5%,-0.8%,-1.2%,0.3
2021-12-03 13:30:00,False,-1.5%,-0.8%,0.6%,-0.7
2021-09-03 12:30:00,False,0.6%, ,-1.7%,
2021-06-04 12:30:00,False,-1.7%, ,-2.1%,
2021-03-04 13:30:00,False,-2.0%, ,-10.6%,
2020-12-02 13:30:00,False,-10.3%, ,10.5%,
2020-09-02 12:30:00,False,9.8%,1.2%,4.5%,8.6
2020-06-03 12:30:00,False,3.4%,1.2%,-0.1%,2.2
2020-03-04 13:30:00,False,-0.1%, ,0.2%,
2019-12-04 13:30:00,False,0.2%,0.8%,0.1%,-0.6
2019-09-04 12:30:00,False,0.2%,0.3%,0.4%,-0.1
2019-06-05 12:30:00,False,0.3%,0.3%,-0.4%,0.0
2019-03-06 13:30:00,False,-0.4%,0.2%,0.2%,-0.6
2018-12-04 13:30:00,False,0.3%,0.4%,0.7%,-0.1
2018-09-05 12:30:00,False,0.7%,0.2%,-0.3%,0.5
2018-06-05 12:30:00,False,-0.3%,0.3%,0.2%,-0.6
2018-03-07 13:30:00,False,0.2%,0.1%,-0.5%,0.1
2017-12-06 13:30:00,False,-0.6%,-0.4%,-0.2%,-0.2
2017-09-06 12:30:00,False,-0.1%,0.9%,1.3%,-1.0
2017-06-02 12:30:00,False,1.4%,0.2%,0.4%,1.2
2017-03-08 13:30:00,False,0.4%, ,1.2%,
