Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2022-11-29 13:30:00,False,2.9%,1.5%,3.2%,1.4
2022-08-31 12:30:00,False,3.3%,4.4%,3.1%,-1.1
2022-05-31 12:30:00,False,3.1%,5.4%,6.6%,-2.3
2022-03-01 13:30:00,False,6.7%,6.5%,5.5%,0.2
2021-11-30 13:30:00,False,5.4%,3.0%,-3.2%,2.4
2021-08-31 12:30:00,False,-1.1%,2.5%,5.5%,-3.6
2021-06-01 12:30:00,False,5.6%,6.7%,9.3%,-1.1
2021-03-02 13:30:00,False,9.6%,7.5%,40.6%,2.1
2020-12-01 13:30:00,False,40.5%,47.6%,-38.1%,-7.1
2020-08-28 12:30:00,False,-38.7%,-39.6%,-8.2%,0.9
2020-05-29 12:30:00,False,-8.2%,-10.0%,0.6%,1.8
2020-02-28 13:30:00,False,0.3%,0.3%,1.1%,0.0
2019-11-29 13:30:00,False,1.3%,1.2%,3.5%,0.1
2019-08-30 12:30:00,False,3.7%,3.0%,0.5%,0.7
2019-05-31 12:30:00,False,0.4%,0.7%,0.3%,-0.3
2019-03-01 13:30:00,False,0.4%,1.2%,2.0%,-0.8
2018-11-30 13:30:00,False,2.0%,2.0%,2.9%,0.0
2018-08-30 12:30:00,False,2.9%,3.0%,1.4%,-0.1
2018-05-31 12:30:00,False,1.3%,1.8%,1.7%,-0.5
2018-03-02 13:30:00,False,1.7%,2.0%,1.5%,-0.3
2017-12-01 13:30:00,False,1.7%,1.6%,4.3%,0.1
2017-08-31 12:30:00,False,4.5%,3.7%,3.7%,0.8
2017-05-31 12:30:00,False,3.7%,3.9%,2.7%,-0.2
2017-03-02 13:30:00,False,2.6%,2.0%,3.8%,0.6
