Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-15 15:30:00,False,16.283M,1.166M,2.423M,15.117
2023-02-08 15:30:00,False,2.423M,2.457M,4.140M,-0.034
2023-02-01 15:30:00,False,4.140M,0.376M,0.533M,3.764
2023-01-25 15:30:00,False,0.533M,0.971M,8.408M,-0.438
2023-01-19 16:00:00,False,8.408M,-0.593M,18.962M,9.001
2023-01-11 15:30:00,False,18.962M,-2.243M,1.694M,21.205
2023-01-05 16:00:00,False,1.694M,1.154M,0.718M,0.54
2022-12-29 16:00:00,False,0.718M,-1.520M,-5.894M,2.238
2022-12-21 15:30:00,False,-5.894M,-1.657M,10.231M,-4.237
2022-12-14 15:30:00,False,10.231M,-3.595M,-5.187M,13.826
2022-12-07 15:30:00,False,-5.187M,-3.305M,-12.580M,-1.882
2022-11-30 15:30:00,False,-12.580M,-2.758M,-3.691M,-9.822
2022-11-23 15:30:00,False,-3.691M,-1.055M,-5.400M,-2.636
2022-11-16 15:30:00,False,-5.400M,-0.440M,3.925M,-4.96
2022-11-09 15:30:00,False,3.925M,1.360M,-3.115M,2.565
2022-11-02 14:30:00,False,-3.115M,0.367M,2.588M,-3.482
2022-10-26 14:30:00,False,2.588M,1.029M,-1.725M,1.559
2022-10-19 14:30:00,False,-1.725M,1.380M,9.880M,-3.105
2022-10-13 15:00:00,False,9.880M,1.750M,-1.356M,8.13
2022-10-05 14:30:00,False,-1.356M,2.052M,-0.215M,-3.408
2022-09-28 14:30:00,False,-0.215M,0.443M,1.142M,-0.658
2022-09-21 14:30:00,False,1.142M,2.161M,2.442M,-1.019
2022-09-14 14:30:00,False,2.442M,0.833M,8.844M,1.609
2022-09-08 15:00:00,False,8.844M,-0.250M,-3.326M,9.094
2022-08-31 14:30:00,False,-3.326M,-1.483M,-3.282M,-1.843
2022-08-24 14:30:00,False,-3.282M,-0.933M,-7.056M,-2.349
2022-08-17 14:30:00,False,-7.056M,-0.275M,5.458M,-6.781
2022-08-10 14:30:00,False,5.458M,0.073M,4.467M,5.385
2022-08-03 14:30:00,False,4.467M,-0.629M,-4.523M,5.096
2022-07-27 14:30:00,False,-4.523M,-1.037M,-0.446M,-3.486
2022-07-20 14:30:00,False,-0.446M,1.357M,3.254M,-1.803
2022-07-13 14:30:00,False,3.254M,-0.154M,8.235M,3.408
2022-07-07 15:00:00,False,8.235M,-1.043M,-2.762M,9.278
2022-06-29 14:30:00,False,-2.762M,-0.569M,-0.386M,-2.193
2022-06-29 14:25:00,False,-0.386M, ,1.956M,
2022-06-15 14:30:00,False,1.956M,-1.314M,2.025M,3.27
2022-06-08 14:30:00,False,2.025M,-1.917M,-5.068M,3.942
2022-06-02 15:00:00,False,-5.068M,-1.350M,-1.019M,-3.718
2022-05-25 14:30:00,False,-1.019M,-0.737M,-3.394M,-0.282
2022-05-18 14:30:00,False,-3.394M,1.383M,8.487M,-4.777
2022-05-11 14:30:00,False,8.487M,-0.457M,1.302M,8.944
2022-05-04 14:30:00,False,1.302M,-0.829M,0.692M,2.131
2022-04-27 14:30:00,False,0.692M,2.000M,-8.020M,-1.308
2022-04-20 14:30:00,False,-8.020M,2.471M,9.382M,-10.491
2022-04-13 14:30:00,False,9.382M,0.863M,2.421M,8.519
2022-04-06 14:30:00,False,2.421M,-2.056M,-3.449M,4.477
2022-03-30 14:30:00,False,-3.449M,-1.022M,-2.508M,-2.427
2022-03-23 14:30:00,False,-2.508M,0.114M,4.345M,-2.622
2022-03-16 14:30:00,False,4.345M,-1.375M,-1.863M,5.72
2022-03-09 15:30:00,False,-1.863M,-0.657M,-2.597M,-1.206
2022-03-02 15:30:00,False,-2.597M,2.748M,4.515M,-5.345
2022-02-24 16:00:00,False,4.515M,0.442M,1.121M,4.073
2022-02-16 15:30:00,False,1.121M,-1.572M,-4.756M,2.693
2022-02-09 15:30:00,False,-4.756M,0.369M,-1.046M,-5.125
2022-02-02 15:30:00,False,-1.046M,1.525M,2.377M,-2.571
2022-01-26 15:30:00,False,2.377M,-0.728M,0.515M,3.105
2022-01-20 16:00:00,False,0.515M,-0.938M,-4.553M,1.453
2022-01-12 15:30:00,False,-4.553M,-1.904M,-2.144M,-2.649
2022-01-05 15:30:00,False,-2.144M,-3.283M,-3.576M,1.139
2021-12-29 15:30:00,False,-3.576M,-3.233M,-4.715M,-0.343
2021-12-22 15:30:00,False,-4.715M,-2.750M,-4.584M,-1.965
2021-12-15 15:30:00,False,-4.584M,-2.082M,-0.240M,-2.502
2021-12-08 15:30:00,False,-0.240M,-1.705M,-0.910M,1.465
2021-12-01 15:30:00,False,-0.910M,-1.237M,1.017M,0.327
2021-11-24 15:30:00,False,1.017M,-0.481M,-2.101M,1.498
2021-11-17 15:30:00,False,-2.101M,1.398M,1.001M,-3.499
2021-11-10 15:30:00,False,1.001M,2.125M,3.291M,-1.124
2021-11-03 14:30:00,False,3.291M,2.225M,4.267M,1.066
2021-10-27 14:30:00,False,4.267M,1.914M,-0.431M,2.353
2021-10-20 14:30:00,False,-0.431M,1.857M,6.088M,-2.288
2021-10-14 15:00:00,False,6.088M,0.702M,2.346M,5.386
2021-10-06 14:30:00,False,2.346M,-0.418M,4.578M,2.764
