Timestamp,Prelim,Actual,Forecast,Previous
2023-02-01 10:30:00,False,2.576M,1.442M,1.763M
2023-01-25 10:30:00,False,1.763M,1.767M,3.483M
2023-01-19 11:00:00,False,3.483M,2.529M,4.114M
2023-01-11 10:30:00,False,4.114M,1.186M,-0.346M
2023-01-05 11:00:00,False,-0.346M,-0.486M,-3.105M
2022-12-29 11:00:00,False,-3.105M,0.520M,2.530M
2022-12-21 10:30:00,False,2.530M,2.140M,4.496M
2022-12-14 10:30:00,False,4.496M,2.714M,5.320M
2022-12-07 10:30:00,False,5.320M,2.707M,2.769M
2022-11-30 10:30:00,False,2.769M,1.625M,3.058M
2022-11-23 10:30:00,False,3.058M,0.383M,2.207M
2022-11-16 10:30:00,False,2.207M,0.310M,-0.899M
2022-11-09 10:30:00,False,-0.899M,-1.080M,-1.257M
2022-11-02 09:30:00,False,-1.257M,-1.358M,-1.478M
2022-10-26 09:30:00,False,-1.478M,-0.805M,-0.114M
2022-10-19 09:30:00,False,-0.114M,-1.114M,2.023M
2022-10-13 10:00:00,False,2.023M,-1.825M,-4.728M
2022-10-05 09:30:00,False,-4.728M,-1.334M,-2.422M
2022-09-28 09:30:00,False,-2.422M,0.709M,1.569M
2022-09-21 09:30:00,False,1.569M,-0.431M,-1.767M
2022-09-14 09:30:00,False,-1.767M,-0.858M,0.333M
2022-09-08 10:00:00,False,0.333M,-1.667M,-1.172M
2022-08-31 09:30:00,False,-1.172M,-1.178M,-0.027M
2022-08-24 09:30:00,False,-0.027M,-1.464M,-4.642M
2022-08-17 09:30:00,False,-4.642M,-1.096M,-4.978M
2022-08-10 09:30:00,False,-4.978M,-0.633M,0.163M
2022-08-03 09:30:00,False,0.163M,-1.614M,-3.304M
2022-07-27 09:30:00,False,-3.304M,-0.857M,3.498M
2022-07-20 09:30:00,False,3.498M,0.071M,5.825M
2022-07-13 09:30:00,False,5.825M,-0.357M,-2.497M
2022-07-07 10:00:00,False,-2.497M,-0.480M,2.645M
2022-06-29 09:30:00,False,2.645M,-0.452M,1.489M
2022-06-29 09:25:00,False,1.489M, ,-0.710M
2022-06-15 09:30:00,False,-0.710M,1.066M,-0.812M
2022-06-08 09:30:00,False,-0.812M,1.075M,-0.711M
2022-06-02 10:00:00,False,-0.711M,0.533M,-0.482M
2022-05-25 09:30:00,False,-0.482M,-0.634M,-4.779M
2022-05-18 09:30:00,False,-4.779M,-1.333M,-3.607M
2022-05-11 09:30:00,False,-3.607M,-1.574M,-2.230M
2022-05-04 09:30:00,False,-2.230M,-0.589M,-1.573M
2022-04-27 09:30:00,False,-1.573M,0.808M,-0.761M
2022-04-20 09:30:00,False,-0.761M,-0.976M,-3.649M
2022-04-13 09:30:00,False,-3.649M,-0.388M,-2.041M
2022-04-06 09:30:00,False,-2.041M,0.063M,0.785M
2022-03-30 09:30:00,False,0.785M,-1.744M,-2.947M
2022-03-23 09:30:00,False,-2.947M,-1.986M,-3.616M
2022-03-16 09:30:00,False,-3.616M,-1.579M,-1.405M
2022-03-09 10:30:00,False,-1.405M,-2.105M,-0.468M
2022-03-02 10:30:00,False,-0.468M,-1.375M,-0.582M
2022-02-24 11:00:00,False,-0.582M,-1.450M,-1.331M
2022-02-16 10:30:00,False,-1.331M,0.550M,-1.644M
2022-02-09 10:30:00,False,-1.644M,1.623M,2.119M
2022-02-02 10:30:00,False,2.119M,1.645M,1.297M
2022-01-26 10:30:00,False,1.297M,2.548M,5.873M
2022-01-20 11:00:00,False,5.873M,2.634M,7.961M
2022-01-12 10:30:00,False,7.961M,2.408M,10.128M
2022-01-05 10:30:00,False,10.128M,1.775M,-1.458M
2021-12-29 10:30:00,False,-1.459M,-0.031M,5.533M
2021-12-22 10:30:00,False,5.533M,0.467M,-0.719M
2021-12-15 10:30:00,False,-0.719M,1.606M,3.882M
2021-12-08 10:30:00,False,3.882M,1.798M,4.029M
2021-12-01 10:30:00,False,4.029M,0.029M,-0.603M
