,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-02-01 15:30:00,False,2.315M, ,4.267M
1,2023-01-25 15:30:00,False,4.267M, ,3.646M
2,2023-01-19 16:00:00,False,3.646M, ,2.511M
3,2023-01-11 15:30:00,False,2.511M, ,0.244M
4,2023-01-05 16:00:00,False,0.244M, ,-0.195M
5,2022-12-29 16:00:00,False,-0.195M, ,0.853M
6,2022-12-21 15:30:00,False,0.853M, ,0.426M
7,2022-12-14 15:30:00,False,0.426M,-0.715M,-0.373M
8,2022-12-07 15:30:00,False,-0.373M,-0.841M,-0.415M
9,2022-11-30 15:30:00,False,-0.415M,-0.697M,-0.887M
10,2022-11-23 15:30:00,False,-0.887M, ,-1.624M
11,2022-11-16 15:30:00,False,-1.624M, ,-0.923M
12,2022-11-09 15:30:00,False,-0.923M, ,1.267M
13,2022-11-02 14:30:00,False,1.267M, ,0.667M
14,2022-10-26 14:30:00,False,0.667M, ,0.583M
15,2022-10-19 14:30:00,False,0.583M, ,-0.309M
16,2022-10-13 15:00:00,False,-0.309M, ,0.273M
17,2022-10-05 14:30:00,False,0.273M, ,0.692M
18,2022-09-28 14:30:00,False,0.692M, ,0.343M
19,2022-09-21 14:30:00,False,0.343M, ,-0.135M
20,2022-09-14 14:30:00,False,-0.135M, ,-0.501M
21,2022-09-08 15:00:00,False,-0.501M, ,-0.523M
22,2022-08-31 14:30:00,False,-0.523M, ,0.426M
23,2022-08-24 14:30:00,False,0.426M, ,0.192M
24,2022-08-17 14:30:00,False,0.192M, ,0.723M
25,2022-08-10 14:30:00,False,0.723M, ,0.926M
26,2022-08-03 14:30:00,False,0.926M, ,0.751M
27,2022-07-27 14:30:00,False,0.751M, ,1.143M
28,2022-07-20 14:30:00,False,1.143M, ,0.316M
29,2022-07-13 14:30:00,False,0.316M, ,0.069M
30,2022-07-07 15:00:00,False,0.069M, ,-0.782M
31,2022-06-29 14:30:00,False,-0.782M, ,-0.572M
32,2022-06-29 14:25:00,False,-0.572M, ,-0.826M
33,2022-06-15 14:30:00,False,-0.826M, ,-1.593M
34,2022-06-08 14:30:00,False,-1.593M, ,0.256M
35,2022-06-02 15:00:00,False,0.256M, ,-1.061M
36,2022-05-25 14:30:00,False,-1.061M, ,-2.403M
37,2022-05-18 14:30:00,False,-2.403M, ,-0.587M
38,2022-05-11 14:30:00,False,-0.587M, ,1.379M
39,2022-05-04 14:30:00,False,1.379M, ,1.298M
40,2022-04-27 14:30:00,False,1.298M, ,-0.185M
41,2022-04-20 14:30:00,False,-0.185M, ,0.450M
42,2022-04-13 14:30:00,False,0.450M, ,1.654M
43,2022-04-06 14:30:00,False,1.654M, ,-1.009M
44,2022-03-30 14:30:00,False,-1.009M, ,1.235M
45,2022-03-23 14:30:00,False,1.235M, ,1.786M
46,2022-03-16 14:30:00,False,1.786M, ,-0.585M
47,2022-03-09 15:30:00,False,-0.585M, ,-0.972M
48,2022-03-02 15:30:00,False,-0.972M, ,-2.049M
49,2022-02-24 16:00:00,False,-2.049M, ,-1.900M
50,2022-02-16 15:30:00,False,-1.900M, ,-2.801M
51,2022-02-09 15:30:00,False,-2.801M, ,-1.173M
52,2022-02-02 15:30:00,False,-1.173M, ,-1.823M
53,2022-01-26 15:30:00,False,-1.823M, ,-1.314M
54,2022-01-20 16:00:00,False,-1.314M, ,-2.468M
55,2022-01-12 15:30:00,False,-2.468M, ,2.577M
56,2022-01-05 15:30:00,False,2.577M, ,1.055M
57,2021-12-29 15:30:00,False,1.055M, ,1.463M
58,2021-12-22 15:30:00,False,1.463M, ,1.294M
59,2021-12-15 15:30:00,False,1.294M, ,2.373M
60,2021-12-08 15:30:00,False,2.373M, ,1.159M
61,2021-12-01 15:30:00,False,1.159M, ,0.787M
62,2021-11-24 15:30:00,False,0.787M, ,0.216M
63,2021-11-17 15:30:00,False,0.216M, ,-0.034M
64,2021-11-10 15:30:00,False,-0.034M, ,-0.916M
65,2021-11-03 14:30:00,False,-0.916M, ,-3.899M
66,2021-10-27 14:30:00,False,-3.899M, ,-2.320M
67,2021-10-20 14:30:00,False,-2.320M, ,-1.968M
68,2021-10-14 15:00:00,False,-1.968M, ,1.548M
69,2021-10-06 14:30:00,False,1.548M, ,0.131M
70,2021-09-29 14:30:00,False,0.131M, ,-1.476M
71,2021-09-22 14:30:00,False,-1.476M, ,-1.103M
72,2021-09-15 14:30:00,False,-1.103M, ,1.918M
73,2021-09-09 15:00:00,False,1.918M, ,0.836M
74,2021-09-01 14:30:00,False,0.836M, ,0.070M
75,2021-08-25 14:30:00,False,0.070M, ,-0.980M
76,2021-08-18 14:30:00,False,-0.980M, ,-0.325M
77,2021-08-11 14:30:00,False,-0.325M, ,-0.543M
78,2021-08-04 14:30:00,False,-0.543M, ,-1.268M
79,2021-07-28 14:30:00,False,-1.268M, ,-1.347M
80,2021-07-21 14:30:00,False,-1.347M, ,-1.589M
81,2021-07-14 14:30:00,False,-1.589M, ,-0.614M
82,2021-07-08 15:00:00,False,-0.614M, ,-1.460M
83,2021-06-30 14:30:00,False,-1.460M, ,-1.833M
84,2021-06-23 14:30:00,False,-1.833M, ,-2.150M
85,2021-06-16 14:30:00,False,-2.150M, ,0.165M
86,2021-06-09 14:30:00,False,0.165M, ,0.784M
87,2021-06-03 15:00:00,False,0.784M, ,-1.008M
88,2021-05-26 14:30:00,False,-1.008M, ,-0.142M
89,2021-05-19 14:30:00,False,-0.142M, ,-0.421M
90,2021-05-12 14:30:00,False,-0.421M, ,0.254M
91,2021-05-05 14:30:00,False,0.254M, ,0.722M
92,2021-04-28 14:30:00,False,0.722M, ,-1.318M
93,2021-04-21 14:30:00,False,-1.318M, ,0.346M
94,2021-04-14 14:30:00,False,0.346M, ,-0.735M
95,2021-04-07 14:30:00,False,-0.735M, ,0.782M
96,2021-03-31 14:30:00,False,0.782M, ,-1.935M
97,2021-03-24 14:30:00,False,-1.935M, ,-0.624M
98,2021-03-17 14:30:00,False,-0.624M, ,0.526M
99,2021-03-10 15:30:00,False,0.526M, ,0.485M
100,2021-03-03 15:30:00,False,0.485M, ,2.807M
101,2021-02-24 15:30:00,False,2.807M, ,-3.028M
102,2021-02-18 16:00:00,False,-3.028M, ,-0.658M
103,2021-02-10 15:30:00,False,-0.658M, ,-1.517M
104,2021-02-03 15:30:00,False,-1.517M, ,-2.281M
105,2021-01-27 15:30:00,False,-2.281M, ,-4.727M
106,2021-01-22 16:00:00,False,-4.727M, ,-1.975M
107,2021-01-13 15:30:00,False,-1.975M, ,0.792M
108,2021-01-06 15:30:00,False,0.792M, ,0.027M
109,2020-12-30 15:30:00,False,0.027M, ,-0.026M
110,2020-12-23 15:30:00,False,-0.026M, ,0.198M
111,2020-12-16 15:30:00,False,0.198M, ,-1.364M
112,2020-12-09 15:30:00,False,-1.364M, ,-0.317M
113,2020-12-02 15:30:00,False,-0.317M,-0.342M,-1.721M
114,2020-11-25 15:30:00,False,-1.721M,-0.920M,1.200M
115,2020-11-18 15:30:00,False,1.200M,2.154M,-0.518M
116,2020-11-12 16:00:00,False,-0.518M,-1.573M,0.936M
117,2020-11-04 15:30:00,False,0.936M,2.411M,-0.422M
118,2020-10-28 14:30:00,False,-0.422M,-2.538M,0.975M
119,2020-10-21 14:30:00,False,0.975M,1.180M,2.906M
120,2020-10-15 15:00:00,False,2.906M,3.923M,0.470M
121,2020-10-07 14:30:00,False,0.470M,0.882M,1.785M
122,2020-09-30 14:30:00,False,1.785M,1.177M,0.004M
123,2020-09-23 14:30:00,False,0.004M,0.028M,-0.074M
124,2020-09-16 14:30:00,False,-0.074M,2.242M,1.838M
