Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2023-02-02 15:30:00,False,-151B,-142B,-91B,-9.0
2023-01-26 15:30:00,False,-91B,-82B,-82B,-9.0
2023-01-19 15:30:00,False,-82B,-71B,11B,-11.0
2023-01-12 15:30:00,False,11B,-15B,-221B,26.0
2023-01-05 15:30:00,False,-221B,-228B,-213B,7.0
2022-12-29 15:30:00,False,-213B,-201B,-87B,-12.0
2022-12-22 15:30:00,False,-87B,-93B,-50B,6.0
2022-12-15 15:30:00,False,-50B,-45B,-21B,-5.0
2022-12-08 15:30:00,False,-21B,-31B,-81B,10.0
2022-12-01 15:30:00,False,-81B,-84B,-80B,3.0
2022-11-23 17:00:00,False,-80B,63B,64B,-143.0
2022-11-17 15:30:00,False,64B,63B,79B,1.0
2022-11-10 15:30:00,False,79B,84B,107B,-5.0
2022-11-03 14:30:00,False,107B,97B,52B,10.0
2022-10-27 14:30:00,False,52B,59B,111B,-7.0
2022-10-20 14:30:00,False,111B,105B,125B,6.0
2022-10-13 14:30:00,False,125B,123B,129B,2.0
2022-10-06 14:30:00,False,129B,113B,103B,16.0
2022-09-29 14:30:00,False,103B,94B,103B,9.0
2022-09-22 14:30:00,False,103B,93B,77B,10.0
2022-09-15 14:30:00,False,77B,73B,54B,4.0
2022-09-08 14:30:00,False,54B,54B,61B,0.0
2022-09-01 14:30:00,False,61B,58B,60B,3.0
2022-08-25 14:30:00,False,60B,58B,18B,2.0
2022-08-18 14:30:00,False,18B,34B,44B,-16.0
2022-08-11 14:30:00,False,44B,39B,41B,5.0
2022-08-04 14:30:00,False,41B,29B,15B,12.0
2022-07-28 14:30:00,False,15B,22B,32B,-7.0
2022-07-21 14:30:00,False,32B,47B,58B,-15.0
2022-07-14 14:30:00,False,58B,58B,60B,0.0
2022-07-07 14:30:00,False,60B,74B,82B,-14.0
2022-06-30 14:30:00,False,82B,74B,74B,8.0
2022-06-23 14:30:00,False,74B,65B,92B,9.0
2022-06-16 14:30:00,False,92B, ,97B,
2022-06-09 14:30:00,False,97B,96B,90B,1.0
2022-06-02 14:30:00,False,90B,86B,80B,4.0
2022-05-26 14:30:00,False,80B,89B,89B,-9.0
2022-05-19 14:30:00,False,89B,87B,76B,2.0
2022-05-12 14:30:00,False,76B,79B,77B,-3.0
2022-05-05 14:30:00,False,77B,68B,40B,9.0
2022-04-28 14:30:00,False,40B,38B,53B,2.0
2022-04-21 14:30:00,False,53B,37B,15B,16.0
2022-04-14 14:30:00,False,15B,15B,-33B,0.0
2022-04-07 14:30:00,False,-33B,-26B,26B,-7.0
2022-03-31 14:30:00,False,26B,21B,-51B,5.0
2022-03-24 14:30:00,False,-51B,-56B,-79B,5.0
2022-03-17 14:30:00,False,-79B,-73B,-124B,-6.0
2022-03-10 15:30:00,False,-124B,-117B,-139B,-7.0
2022-03-03 15:30:00,False,-139B,-138B,-129B,-1.0
2022-02-24 15:30:00,False,-129B,-134B,-190B,5.0
2022-02-17 15:30:00,False,-190B,-193B,-222B,3.0
2022-02-10 15:30:00,False,-222B,-222B,-268B,0.0
2022-02-03 15:30:00,False,-268B,-216B,-219B,-52.0
2022-01-27 15:30:00,False,-219B,-216B,-206B,-3.0
