"WasdeNumber","ReportDate","ReportTitle","Attribute","ReliabilityProjection","Commodity","Region","MarketYear","ProjEstFlag","AnnualQuarterFlag","Value","Unit","ReleaseDate","ReleaseTime","ForecastYear","ForecastMonth"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2021/22","Est.","Annual","1053.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2021/22","Est.","Annual","4629.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2021/22","Est.","Annual","964.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2021/22","Est.","Annual","1676.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2021/22","Est.","Annual","31.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2021/22","Est.","Annual","6185.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Beginning Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","964.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Domestic","","Sugar","Mexico","2022/23","Proj.","Annual","4660.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Ending Stocks","","Sugar","Mexico","2022/23","Proj.","Annual","971.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Exports","","Sugar","Mexico","2022/23","Proj.","Annual","1268.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Imports","","Sugar","Mexico","2022/23","Proj.","Annual","35.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Mexico Sugar Supply and Use and High Fructose Corn Syrup Consumption","Production","","Sugar","Mexico","2022/23","Proj.","Annual","5900.00","1000 Metric Tons, Actual Weight","2023-02-08","12:00:00.0000000","2023","2"
"633","February 2023","Reliability of February Projections","Domestic Use","above_final","Coarse Grain","Foreign","","","Annual","15.00","Years","2023-02-08","12:00:00.0000000","2023","2"
