time,ask,bid,ask_volume,bid_volume
2017-04-27 00:00:00.171000,1.09088,1.09083,9370000,1000000
2017-04-27 00:00:00.274000,1.09087,1.09081,6820000,3750000
2017-04-27 00:00:01.774000,1.09086,1.09080,3000000,3450000
2017-04-27 00:00:01.825000,1.09086,1.09083,1000000,1000000
2017-04-27 00:00:01.877000,1.09086,1.09081,1000000,3370000
2017-04-27 00:00:02.379000,1.09087,1.09081,5250000,3370000
2017-04-27 00:00:02.582000,1.09087,1.09083,5250000,1000000
2017-04-27 00:00:04.095000,1.09089,1.09085,1870000,1000000
2017-04-27 00:00:04.603000,1.09089,1.09084,1000000,1120000
2017-04-27 00:00:05.149000,1.09090,1.09084,7500000,1120000
2017-04-27 00:00:05.668000,1.09090,1.09084,7120000,1470000
2017-04-27 00:00:08.142000,1.09090,1.09084,9070000,3000000
2017-04-27 00:00:08.447000,1.09087,1.09082,1500000,3450000
2017-04-27 00:00:08.959000,1.09086,1.09081,1500000,4120000
2017-04-27 00:00:09.568000,1.09085,1.09080,3000000,3000000
2017-04-27 00:00:10.077000,1.09086,1.09080,4870000,3370000
2017-04-27 00:00:14.690000,1.09086,1.09080,4120000,3520000
2017-04-27 00:00:17.047000,1.09086,1.09080,4120000,5020000
2017-04-27 00:00:17.680000,1.09086,1.09080,4120000,4950000
2017-04-27 00:00:18.601000,1.09086,1.09081,2620000,1120000
2017-04-27 00:00:28.965000,1.09087,1.09083,1000000,4120000
2017-04-27 00:00:29.069000,1.09089,1.09084,2320000,2250000
2017-04-27 00:00:29.615000,1.09089,1.09085,3000000,3750000
2017-04-27 00:00:30.150000,1.09089,1.09086,1500000,1000000
2017-04-27 00:00:34.765000,1.09090,1.09086,2620000,1000000
2017-04-27 00:00:35.526000,1.09090,1.09085,2620000,5320000
2017-04-27 00:00:36.163000,1.09091,1.09088,3750000,1200000
2017-04-27 00:00:36.367000,1.09096,1.09090,5100000,2250000
2017-04-27 00:00:36.900000,1.09096,1.09091,2100000,1120000
2017-04-27 00:00:37.494000,1.09095,1.09092,1500000,1000000
2017-04-27 00:00:39.400000,1.09097,1.09094,1690000,2620000
2017-04-27 00:00:39.805000,1.09099,1.09096,1870000,1120000
2017-04-27 00:00:42.942000,1.09099,1.09095,1500000,1120000
2017-04-27 00:00:43.146000,1.09101,1.09097,4500000,1000000
2017-04-27 00:00:43.684000,1.09101,1.09097,3750000,1000000
2017-04-27 00:00:49.725000,1.09099,1.09095,1500000,3070000
2017-04-27 00:00:51.273000,1.09099,1.09095,1870000,1120000
2017-04-27 00:00:59.290000,1.09097,1.09093,3000000,2700000
2017-04-27 00:00:59.598000,1.09097,1.09091,10070000,4870000
2017-04-27 00:00:59.701000,1.09094,1.09090,1500000,5700000
2017-04-27 00:01:00.258000,1.09095,1.09090,1500000,4950000
2017-04-27 00:01:00.808000,1.09096,1.09091,3000000,1500000
2017-04-27 00:01:01.394000,1.09096,1.09092,2620000,1000000
2017-04-27 00:01:01.860000,1.09098,1.09095,2620000,1370000
2017-04-27 00:01:01.963000,1.09099,1.09095,1500000,2250000
2017-04-27 00:01:02.316000,1.09101,1.09096,4120000,1370000
2017-04-27 00:01:03.375000,1.09101,1.09099,3750000,1370000
2017-04-27 00:01:03.681000,1.09104,1.09102,1000000,2250000
2017-04-27 00:01:04.042000,1.09106,1.09102,1500000,1500000
2017-04-27 00:01:05.844000,1.09106,1.09102,1870000,6220000
2017-04-27 00:01:05.895000,1.09107,1.09103,3370000,2250000
2017-04-27 00:01:06.119000,1.09108,1.09105,1500000,1500000
2017-04-27 00:01:06.627000,1.09110,1.09105,1870000,1500000
2017-04-27 00:01:07.134000,1.09110,1.09105,1870000,3000000
2017-04-27 00:01:08.657000,1.09110,1.09108,2620000,3000000
2017-04-27 00:01:08.762000,1.09112,1.09108,5250000,1120000
2017-04-27 00:01:09.271000,1.09113,1.09108,2130000,1500000
2017-04-27 00:01:10.314000,1.09113,1.09109,2130000,2250000
2017-04-27 00:01:14.338000,1.09113,1.09109,2510000,1500000
2017-04-27 00:01:14.858000,1.09113,1.09110,2510000,1870000
2017-04-27 00:01:15.967000,1.09113,1.09110,2130000,3370000
2017-04-27 00:01:16.920000,1.09113,1.09112,140000,2250000
2017-04-27 00:01:16.973000,1.09113,1.09112,140000,14860000
2017-04-27 00:01:17.076000,1.09121,1.09114,3190000,3750000
2017-04-27 00:01:17.127000,1.09121,1.09116,5810000,1000000
2017-04-27 00:01:17.634000,1.09122,1.09116,7030000,1120000
2017-04-27 00:01:18.776000,1.09122,1.09116,6280000,1940000
2017-04-27 00:01:19.297000,1.09122,1.09116,5060000,3370000
2017-04-27 00:01:19.832000,1.09122,1.09116,5060000,3750000
2017-04-27 00:01:20.347000,1.09122,1.09117,5060000,2250000
2017-04-27 00:01:23.683000,1.09122,1.09116,6000000,1120000
2017-04-27 00:01:24.277000,1.09122,1.09116,6000000,1000000
2017-04-27 00:01:25.736000,1.09119,1.09116,1000000,1120000
2017-04-27 00:01:25.889000,1.09117,1.09113,3750000,1120000
2017-04-27 00:01:26.404000,1.09117,1.09112,4500000,2620000
2017-04-27 00:01:27.469000,1.09117,1.09112,5250000,1940000
2017-04-27 00:01:29.511000,1.09117,1.09112,6370000,1000000
2017-04-27 00:01:30.847000,1.09113,1.09112,1000000,1000000
2017-04-27 00:01:31,1.09110,1.09107,1500000,1000000
2017-04-27 00:01:31.051000,1.09107,1.09106,3000000,1500000
2017-04-27 00:01:31.153000,1.09107,1.09105,4500000,1000000
2017-04-27 00:01:31.205000,1.09106,1.09103,1000000,1000000
2017-04-27 00:01:31.470000,1.09106,1.09101,1000000,7560000
2017-04-27 00:01:32.010000,1.09107,1.09102,2700000,3370000
2017-04-27 00:01:32.113000,1.09108,1.09103,1870000,1370000
2017-04-27 00:01:32.627000,1.09108,1.09105,1120000,1000000
2017-04-27 00:01:34.205000,1.09109,1.09106,1370000,1000000
2017-04-27 00:01:34.758000,1.09109,1.09105,1000000,1000000
2017-04-27 00:01:37.287000,1.09110,1.09105,2620000,3810000
2017-04-27 00:01:38.937000,1.09110,1.09106,1120000,1370000
2017-04-27 00:01:39.527000,1.09112,1.09106,6000000,1000000
2017-04-27 00:01:53.568000,1.09113,1.09110,3370000,1120000
2017-04-27 00:01:53.619000,1.09113,1.09110,1500000,1000000
2017-04-27 00:01:53.823000,1.09115,1.09110,4120000,1000000
2017-04-27 00:01:55.493000,1.09114,1.09110,1000000,1080000
2017-04-27 00:01:55.943000,1.09116,1.09111,1000000,4120000
2017-04-27 00:01:56.448000,1.09117,1.09111,6750000,5310000
2017-04-27 00:01:57.057000,1.09117,1.09111,6750000,5310000
2017-04-27 00:01:57.281000,1.09117,1.09111,6750000,5310000
2017-04-27 00:01:58.005000,1.09117,1.09111,6750000,4630000
2017-04-27 00:01:58.586000,1.09119,1.09113,3750000,4190000
