time,ask,bid,ask_volume,bid_volume
2020-01-03 10:55:00.469000,1.11343,1.11341,750000,4760000
2020-01-03 10:55:00.571000,1.11343,1.11342,750000,450000
2020-01-03 10:55:01.604000,1.11343,1.11341,750000,6640000
2020-01-03 10:55:02.893000,1.11344,1.11341,2250000,2140000
2020-01-03 10:55:02.995000,1.11344,1.11342,2250000,100000
2020-01-03 10:55:03.146000,1.11344,1.11341,2250000,2210000
2020-01-03 10:55:03.248000,1.11347,1.11345,4870000,2890000
2020-01-03 10:55:03.349000,1.11348,1.11346,2250000,1390000
2020-01-03 10:55:03.991000,1.11348,1.11347,750000,750000
2020-01-03 10:55:04.110000,1.11348,1.11346,750000,2960000
2020-01-03 10:55:04.212000,1.11347,1.11345,750000,3450000
2020-01-03 10:55:04.365000,1.11347,1.11344,3750000,2060000
2020-01-03 10:55:04.466000,1.11347,1.11346,1500000,750000
2020-01-03 10:55:04.568000,1.11348,1.11347,750000,820000
2020-01-03 10:55:04.713000,1.11349,1.11348,750000,750000
2020-01-03 10:55:05.154000,1.1135,1.11347,2440000,1570000
2020-01-03 10:55:05.898000,1.1135,1.11348,1690000,750000
2020-01-03 10:55:07.053000,1.1135,1.11346,1690000,4570000
2020-01-03 10:55:11.782000,1.1135,1.11347,2440000,100000
2020-01-03 10:55:12.073000,1.11349,1.11347,750000,370000
2020-01-03 10:55:13.532000,1.11347,1.11345,3000000,7760000
2020-01-03 10:55:13.633000,1.11345,1.11344,750000,750000
2020-01-03 10:55:13.735000,1.11345,1.11343,750000,750000
2020-01-03 10:55:13.836000,1.11346,1.11343,2440000,2250000
2020-01-03 10:55:14.241000,1.11345,1.11343,750000,750000
2020-01-03 10:55:14.447000,1.11346,1.11343,3940000,750000
2020-01-03 10:55:15.581000,1.11345,1.11343,750000,1500000
2020-01-03 10:55:16.100000,1.11346,1.11343,3940000,1500000
2020-01-03 10:55:16.338000,1.11345,1.11343,750000,1500000
2020-01-03 10:55:16.636000,1.11347,1.11346,1120000,2250000
2020-01-03 10:55:16.687000,1.11348,1.11347,750000,820000
2020-01-03 10:55:16.788000,1.1135,1.11348,2620000,100000
2020-01-03 10:55:21.748000,1.11349,1.11348,750000,100000
2020-01-03 10:55:21.850000,1.11349,1.11347,2250000,2250000
2020-01-03 10:55:22.002000,1.11349,1.11346,3000000,2510000
2020-01-03 10:55:22.104000,1.11347,1.11345,750000,7200000
2020-01-03 10:55:22.206000,1.1135,1.11348,3000000,750000
2020-01-03 10:55:22.308000,1.11351,1.11348,3370000,820000
2020-01-03 10:55:22.409000,1.1135,1.11348,750000,4200000
2020-01-03 10:55:22.529000,1.11351,1.11348,3370000,1200000
2020-01-03 10:55:22.869000,1.11352,1.11351,1120000,750000
2020-01-03 10:55:26.553000,1.11353,1.11351,3750000,750000
2020-01-03 10:55:33.441000,1.11354,1.11351,3370000,3750000
2020-01-03 10:55:33.654000,1.11354,1.11352,1870000,450000
2020-01-03 10:55:34.513000,1.11354,1.11353,750000,100000
2020-01-03 10:55:34.625000,1.11355,1.11353,1120000,100000
2020-01-03 10:55:34.726000,1.11355,1.11352,1870000,2620000
2020-01-03 10:55:36.867000,1.11355,1.11351,1870000,5890000
2020-01-03 10:55:37.070000,1.11354,1.11352,750000,100000
2020-01-03 10:55:37.172000,1.11354,1.11351,750000,5890000
2020-01-03 10:55:37.274000,1.11355,1.11351,1870000,5890000
2020-01-03 10:55:38.138000,1.11355,1.11352,4870000,750000
2020-01-03 10:55:38.240000,1.11355,1.11351,2620000,4390000
2020-01-03 10:55:42.210000,1.11355,1.11352,4120000,750000
2020-01-03 10:55:43.205000,1.11355,1.11351,1870000,6340000
2020-01-03 10:55:43.869000,1.11353,1.11351,3000000,1570000
2020-01-03 10:55:44.451000,1.11354,1.11353,2620000,1570000
2020-01-03 10:55:44.552000,1.11354,1.11351,1870000,2510000
2020-01-03 10:55:44.653000,1.11354,1.11352,1870000,1570000
2020-01-03 10:55:47.813000,1.11353,1.11352,750000,750000
2020-01-03 10:55:47.915000,1.11353,1.11351,750000,1500000
2020-01-03 10:55:49.190000,1.11352,1.11351,750000,100000
2020-01-03 10:55:49.293000,1.11351,1.11349,3000000,3260000
2020-01-03 10:55:49.406000,1.1135,1.11348,2250000,1570000
2020-01-03 10:55:51.050000,1.11351,1.11348,3370000,1570000
2020-01-03 10:55:51.775000,1.1135,1.11348,370000,2400000
2020-01-03 10:55:54.857000,1.11351,1.11348,5620000,2400000
2020-01-03 10:55:58.149000,1.11351,1.11349,2620000,750000
2020-01-03 10:55:58.962000,1.11352,1.11351,1500000,1570000
2020-01-03 10:55:59.014000,1.11354,1.11352,1870000,3820000
2020-01-03 10:55:59.116000,1.11354,1.11353,750000,1500000
2020-01-03 10:55:59.420000,1.11355,1.11353,1120000,1690000
2020-01-03 10:56:00.252000,1.11355,1.11353,560000,1500000
2020-01-03 10:56:00.353000,1.11355,1.11353,560000,1950000
2020-01-03 10:56:01.345000,1.11353,1.11352,750000,750000
2020-01-03 10:56:01.447000,1.11353,1.11351,750000,5320000
2020-01-03 10:56:01.548000,1.11354,1.11352,1870000,750000
2020-01-03 10:56:02.007000,1.11352,1.11351,750000,750000
2020-01-03 10:56:02.109000,1.11351,1.11349,1870000,4760000
2020-01-03 10:56:02.261000,1.11351,1.1135,750000,750000
2020-01-03 10:56:02.363000,1.11352,1.1135,1870000,750000
2020-01-03 10:56:02.464000,1.11353,1.11352,2620000,750000
2020-01-03 10:56:02.565000,1.11354,1.11352,2620000,2320000
2020-01-03 10:56:02.823000,1.11355,1.11352,1120000,3820000
2020-01-03 10:56:05.546000,1.11355,1.11353,1870000,190000
2020-01-03 10:56:05.647000,1.11355,1.11352,1120000,4090000
2020-01-03 10:56:06.303000,1.11354,1.11352,750000,4010000
2020-01-03 10:56:06.853000,1.11353,1.11352,750000,1570000
2020-01-03 10:56:07.028000,1.11354,1.11352,4870000,1570000
2020-01-03 10:56:07.568000,1.11354,1.11353,1500000,750000
2020-01-03 10:56:07.669000,1.11356,1.11353,1690000,5400000
2020-01-03 10:56:07.791000,1.11357,1.11355,750000,1500000
2020-01-03 10:56:07.892000,1.11355,1.11353,750000,8590000
2020-01-03 10:56:08.045000,1.11354,1.11352,750000,4760000
2020-01-03 10:56:08.248000,1.11355,1.11353,3560000,750000
2020-01-03 10:56:09.177000,1.11355,1.11352,3560000,4090000
2020-01-03 10:56:10.598000,1.11354,1.11352,750000,4010000
2020-01-03 10:56:12.687000,1.11354,1.11353,1120000,750000
2020-01-03 10:56:12.789000,1.11354,1.11352,1120000,4010000
2020-01-03 10:56:13.077000,1.11354,1.11353,750000,750000
2020-01-03 10:56:13.212000,1.11354,1.11352,750000,4010000
2020-01-03 10:56:13.734000,1.11355,1.11352,3560000,4010000
2020-01-03 10:56:13.835000,1.11354,1.11352,750000,4010000
2020-01-03 10:56:13.937000,1.11352,1.11351,2250000,3000000
2020-01-03 10:56:13.988000,1.11351,1.11349,1500000,2250000
2020-01-03 10:56:14.121000,1.1135,1.11349,1500000,2250000
2020-01-03 10:56:14.249000,1.11351,1.11349,3750000,2250000
2020-01-03 10:56:14.452000,1.11351,1.1135,3750000,750000
2020-01-03 10:56:14.553000,1.11351,1.11349,3000000,2320000
2020-01-03 10:56:15.955000,1.11352,1.1135,4870000,2320000
2020-01-03 10:56:16.057000,1.11353,1.11352,1500000,750000
2020-01-03 10:56:16.913000,1.11354,1.11352,4500000,750000
2020-01-03 10:56:21.289000,1.11355,1.11352,3560000,2510000
2020-01-03 10:56:21.802000,1.11354,1.11352,370000,2440000
2020-01-03 10:56:22.892000,1.11355,1.11352,3560000,2890000
2020-01-03 10:56:27.277000,1.11354,1.11352,750000,2890000
2020-01-03 10:56:31.096000,1.11354,1.11353,750000,100000
2020-01-03 10:56:31.197000,1.11355,1.11352,1870000,3450000
2020-01-03 10:56:31.876000,1.11354,1.11352,750000,3070000
2020-01-03 10:56:32.001000,1.11355,1.11352,1870000,3260000
