time,ask,bid,ask_volume,bid_volume
2022-12-01 13:25:00.042000,1.04723,1.04718,3600000,900000
2022-12-01 13:25:00.245000,1.04725,1.04719,3680000,4500000
2022-12-01 13:25:00.347000,1.04723,1.0472,120000,4500000
2022-12-01 13:25:00.449000,1.04723,1.04717,3600000,4580000
2022-12-01 13:25:00.878000,1.04719,1.04715,5040000,5110000
2022-12-01 13:25:00.980000,1.04718,1.04715,2240000,7580000
2022-12-01 13:25:01.441000,1.0472,1.04714,5040000,3830000
2022-12-01 13:25:02.012000,1.0472,1.04715,5400000,230000
2022-12-01 13:25:02.114000,1.04721,1.04715,3600000,4370000
2022-12-01 13:25:02.567000,1.04719,1.04714,440000,7360000
2022-12-01 13:25:02.669000,1.04718,1.04712,4580000,9160000
2022-12-01 13:25:02.822000,1.04719,1.04716,6770000,120000
2022-12-01 13:25:02.924000,1.04721,1.04716,3600000,540000
2022-12-01 13:25:03.286000,1.04722,1.04716,3600000,3680000
2022-12-01 13:25:03.400000,1.04721,1.04716,3600000,120000
2022-12-01 13:25:03.716000,1.04722,1.04718,5040000,3600000
2022-12-01 13:25:04.671000,1.04722,1.04716,3600000,5040000
2022-12-01 13:25:04.901000,1.04723,1.04717,4580000,3600000
2022-12-01 13:25:05.104000,1.04722,1.04716,3600000,5040000
2022-12-01 13:25:05.810000,1.04723,1.04717,4580000,3600000
2022-12-01 13:25:08.124000,1.04724,1.0472,3140000,120000
2022-12-01 13:25:08.226000,1.04726,1.04722,120000,3600000
2022-12-01 13:25:08.551000,1.04726,1.04721,120000,4140000
2022-12-01 13:25:09.274000,1.04728,1.04722,4500000,3600000
2022-12-01 13:25:09.325000,1.04729,1.04727,900000,440000
2022-12-01 13:25:09.427000,1.04731,1.04726,4610000,4140000
2022-12-01 13:25:09.656000,1.0473,1.04726,120000,3600000
2022-12-01 13:25:09.708000,1.04728,1.04724,3680000,900000
2022-12-01 13:25:09.810000,1.04728,1.04723,4580000,120000
2022-12-01 13:25:10.158000,1.04729,1.04727,1340000,3680000
2022-12-01 13:25:10.260000,1.04731,1.04726,120000,3680000
2022-12-01 13:25:10.808000,1.04732,1.04726,4580000,4140000
2022-12-01 13:25:11.547000,1.04732,1.04727,900000,3680000
2022-12-01 13:25:11.598000,1.04734,1.04731,3600000,540000
2022-12-01 13:25:11.700000,1.04736,1.04731,9000000,120000
2022-12-01 13:25:11.803000,1.04734,1.04729,3600000,120000
2022-12-01 13:25:11.932000,1.04735,1.04729,3600000,4140000
2022-12-01 13:25:12.034000,1.04734,1.04729,120000,3600000
2022-12-01 13:25:12.140000,1.04734,1.04728,3680000,3680000
2022-12-01 13:25:12.308000,1.04733,1.04728,120000,3600000
2022-12-01 13:25:12.460000,1.04733,1.04727,5480000,3680000
2022-12-01 13:25:12.765000,1.04732,1.04727,3600000,120000
2022-12-01 13:25:12.996000,1.04733,1.04728,120000,3600000
2022-12-01 13:25:13.301000,1.04733,1.04727,3680000,3680000
2022-12-01 13:25:13.562000,1.04736,1.04731,4500000,120000
2022-12-01 13:25:13.664000,1.04737,1.04731,4140000,4140000
2022-12-01 13:25:14.171000,1.04737,1.04732,540000,3600000
2022-12-01 13:25:14.718000,1.04736,1.04732,4140000,4140000
2022-12-01 13:25:14.925000,1.04737,1.04732,120000,4040000
2022-12-01 13:25:15.427000,1.04738,1.04732,4940000,4040000
2022-12-01 13:25:15.529000,1.04737,1.04732,440000,3600000
2022-12-01 13:25:15.681000,1.04738,1.04732,4940000,4040000
2022-12-01 13:25:15.783000,1.04737,1.04732,440000,3600000
2022-12-01 13:25:15.885000,1.04738,1.04732,4940000,4040000
2022-12-01 13:25:15.987000,1.04738,1.04733,440000,3600000
2022-12-01 13:25:16.273000,1.04738,1.04732,4040000,4040000
2022-12-01 13:25:16.395000,1.04737,1.04732,540000,3600000
2022-12-01 13:25:18.371000,1.04737,1.04731,4140000,4580000
2022-12-01 13:25:18.509000,1.04737,1.04732,540000,3600000
2022-12-01 13:25:18.611000,1.04737,1.04731,4140000,4580000
2022-12-01 13:25:18.727000,1.04736,1.04733,540000,3600000
2022-12-01 13:25:19.121000,1.04738,1.04732,4040000,4040000
2022-12-01 13:25:19.223000,1.04737,1.04732,440000,3600000
2022-12-01 13:25:19.866000,1.04737,1.04734,440000,3600000
2022-12-01 13:25:20.144000,1.04738,1.04732,4040000,4040000
2022-12-01 13:25:20.471000,1.04738,1.04733,440000,3600000
2022-12-01 13:25:20.741000,1.04737,1.04733,4040000,4040000
2022-12-01 13:25:21.029000,1.04738,1.04733,440000,3600000
2022-12-01 13:25:21.402000,1.04741,1.04739,5420000,120000
2022-12-01 13:25:21.454000,1.04744,1.0474,9020000,4370000
2022-12-01 13:25:21.505000,1.04747,1.04744,980000,230000
2022-12-01 13:25:21.556000,1.04746,1.04742,1440000,3600000
2022-12-01 13:25:21.608000,1.04742,1.04741,1340000,8260000
2022-12-01 13:25:21.710000,1.04742,1.04738,120000,4500000
2022-12-01 13:25:21.811000,1.04742,1.04737,120000,4140000
2022-12-01 13:25:21.969000,1.04739,1.04736,4500000,3760000
2022-12-01 13:25:22.020000,1.04739,1.04733,4940000,4580000
2022-12-01 13:25:22.173000,1.04738,1.04733,900000,3600000
2022-12-01 13:25:22.275000,1.04738,1.04732,4500000,5940000
2022-12-01 13:25:22.478000,1.04737,1.04732,900000,3600000
2022-12-01 13:25:22.580000,1.04737,1.04731,4500000,4140000
2022-12-01 13:25:22.737000,1.04737,1.04732,900000,3600000
2022-12-01 13:25:24.710000,1.04737,1.04733,900000,3600000
2022-12-01 13:25:24.962000,1.04737,1.04732,900000,4140000
2022-12-01 13:25:26.294000,1.04738,1.04732,4940000,4140000
2022-12-01 13:25:26.866000,1.04733,1.0473,540000,8260000
2022-12-01 13:25:26.968000,1.04733,1.04728,120000,4140000
2022-12-01 13:25:27.070000,1.04734,1.04728,4940000,4940000
2022-12-01 13:25:27.553000,1.04734,1.04729,4500000,440000
2022-12-01 13:25:30.023000,1.04735,1.04729,4040000,4040000
2022-12-01 13:25:30.640000,1.04737,1.04733,900000,4040000
2022-12-01 13:25:31.046000,1.04738,1.04733,440000,3600000
2022-12-01 13:25:31.148000,1.04742,1.04737,9060000,540000
2022-12-01 13:25:31.301000,1.04742,1.04738,5040000,4580000
2022-12-01 13:25:31.912000,1.04741,1.04738,900000,4140000
2022-12-01 13:25:33.276000,1.04741,1.04737,440000,120000
2022-12-01 13:25:33.378000,1.04742,1.04737,4140000,120000
2022-12-01 13:25:33.497000,1.04741,1.04737,3600000,120000
2022-12-01 13:25:33.598000,1.04741,1.04738,3680000,120000
2022-12-01 13:25:34.404000,1.04741,1.04736,120000,4140000
2022-12-01 13:25:34.506000,1.04736,1.04733,120000,3600000
2022-12-01 13:25:34.557000,1.04733,1.0473,540000,5400000
2022-12-01 13:25:34.811000,1.04732,1.04729,540000,3600000
2022-12-01 13:25:35.325000,1.04732,1.04728,440000,3600000
2022-12-01 13:25:35.427000,1.04732,1.04729,540000,3600000
2022-12-01 13:25:35.920000,1.04731,1.04727,440000,3680000
2022-12-01 13:25:36.262000,1.04732,1.04727,6860000,3680000
2022-12-01 13:25:36.415000,1.04731,1.04727,120000,3680000
2022-12-01 13:25:36.567000,1.04732,1.04727,2340000,3680000
2022-12-01 13:25:36.720000,1.04733,1.04728,4040000,120000
2022-12-01 13:25:36.822000,1.04734,1.04729,440000,4140000
2022-12-01 13:25:37.626000,1.04734,1.0473,540000,3600000
2022-12-01 13:25:37.940000,1.04735,1.0473,1440000,3600000
2022-12-01 13:25:38.092000,1.04735,1.04729,5040000,4140000
2022-12-01 13:25:38.264000,1.04734,1.04729,3600000,540000
2022-12-01 13:25:38.366000,1.04735,1.04729,5040000,4140000
2022-12-01 13:25:38.680000,1.04735,1.0473,1440000,3600000
2022-12-01 13:25:38.782000,1.04737,1.04733,4970000,3600000
2022-12-01 13:25:38.884000,1.04739,1.04733,5040000,4140000
2022-12-01 13:25:38.986000,1.04739,1.04734,1440000,3600000
2022-12-01 13:25:39.138000,1.04739,1.04733,5040000,4140000
2022-12-01 13:25:39.493000,1.04739,1.04734,1440000,3600000
2022-12-01 13:25:39.595000,1.04739,1.04733,4940000,4140000
2022-12-01 13:25:39.984000,1.04738,1.04733,440000,3680000
