time,ask,bid,ask_volume,bid_volume
2017-06-29 14:25:00.491000,1.12539,1.12536,3260000,1000000
2017-06-29 14:25:01.012000,1.12537,1.12535,1120000,1500000
2017-06-29 14:25:01.786000,1.12539,1.12536,3340000,1120000
2017-06-29 14:25:02.288000,1.12538,1.12535,1310000,4500000
2017-06-29 14:25:02.391000,1.12536,1.12534,1000000,4120000
2017-06-29 14:25:02.753000,1.12533,1.12532,1000000,1870000
2017-06-29 14:25:03.298000,1.12534,1.12531,1760000,1120000
2017-06-29 14:25:03.610000,1.12532,1.1253,1000000,1120000
2017-06-29 14:25:04.117000,1.12531,1.12529,1000000,1000000
2017-06-29 14:25:04.629000,1.1253,1.12528,1000000,4500000
2017-06-29 14:25:05.233000,1.12531,1.12528,1120000,4500000
2017-06-29 14:25:05.540000,1.12532,1.1253,2250000,1000000
2017-06-29 14:25:06.273000,1.1253,1.12528,2320000,3370000
2017-06-29 14:25:06.425000,1.12529,1.12526,5140000,1000000
2017-06-29 14:25:06.938000,1.12528,1.12526,1500000,1000000
2017-06-29 14:25:07.451000,1.12529,1.12526,5320000,1000000
2017-06-29 14:25:08.057000,1.12528,1.12526,1620000,1000000
2017-06-29 14:25:08.160000,1.12523,1.12519,1500000,1500000
2017-06-29 14:25:08.212000,1.1252,1.12518,2290000,28500000
2017-06-29 14:25:08.264000,1.12517,1.12515,1000000,1870000
2017-06-29 14:25:08.506000,1.12515,1.12512,1000000,3000000
2017-06-29 14:25:09.017000,1.12514,1.12511,1310000,2620000
2017-06-29 14:25:09.119000,1.12512,1.12511,1310000,1500000
2017-06-29 14:25:09.222000,1.12511,1.12508,1120000,1870000
2017-06-29 14:25:09.536000,1.12512,1.12511,1120000,1500000
2017-06-29 14:25:09.587000,1.12516,1.12512,5890000,1120000
2017-06-29 14:25:09.690000,1.12517,1.12514,6190000,1000000
2017-06-29 14:25:10.192000,1.12517,1.12515,2440000,1000000
2017-06-29 14:25:10.763000,1.12519,1.12518,2620000,3000000
2017-06-29 14:25:10.815000,1.12521,1.12518,1200000,3370000
2017-06-29 14:25:11.122000,1.12523,1.1252,1870000,1000000
2017-06-29 14:25:11.655000,1.12523,1.12521,5440000,1000000
2017-06-29 14:25:11.862000,1.12522,1.12519,3190000,1000000
2017-06-29 14:25:11.966000,1.12523,1.1252,4120000,1000000
2017-06-29 14:25:12.480000,1.1252,1.12517,6790000,4870000
2017-06-29 14:25:12.787000,1.12518,1.12515,1500000,1000000
2017-06-29 14:25:14.291000,1.12517,1.12515,1690000,1000000
2017-06-29 14:25:14.444000,1.12516,1.12512,6000000,1120000
2017-06-29 14:25:14.540000,1.12516,1.12514,5250000,1000000
2017-06-29 14:25:14.900000,1.12514,1.12512,1120000,1000000
2017-06-29 14:25:15.361000,1.12512,1.1251,1000000,1120000
2017-06-29 14:25:15.689000,1.1251,1.12508,2250000,1000000
2017-06-29 14:25:15.947000,1.12509,1.12507,1000000,1500000
2017-06-29 14:25:16,1.12507,1.12506,1000000,1870000
2017-06-29 14:25:16.107000,1.12505,1.12503,1310000,1000000
2017-06-29 14:25:16.655000,1.12505,1.12502,1500000,1870000
2017-06-29 14:25:17.168000,1.12505,1.12503,2620000,1000000
2017-06-29 14:25:17.874000,1.12504,1.12502,1250000,1000000
2017-06-29 14:25:18.386000,1.12505,1.12502,3190000,1000000
2017-06-29 14:25:18.973000,1.12505,1.12503,1690000,1000000
2017-06-29 14:25:19.539000,1.12508,1.12506,5060000,1000000
2017-06-29 14:25:19.643000,1.12509,1.12507,1690000,1120000
2017-06-29 14:25:20.170000,1.1251,1.12506,2440000,3750000
2017-06-29 14:25:20.221000,1.1251,1.12508,1190000,1000000
2017-06-29 14:25:20.325000,1.12512,1.12509,5060000,1000000
2017-06-29 14:25:20.632000,1.12512,1.12511,1310000,1000000
2017-06-29 14:25:21.009000,1.1251,1.12509,1000000,1120000
2017-06-29 14:25:21.654000,1.12511,1.1251,1500000,1000000
2017-06-29 14:25:21.887000,1.12515,1.12513,2470000,3000000
2017-06-29 14:25:21.941000,1.12513,1.12512,1500000,1000000
2017-06-29 14:25:22.454000,1.12513,1.12511,1120000,1000000
2017-06-29 14:25:22.792000,1.12516,1.12515,1310000,1000000
2017-06-29 14:25:23.722000,1.12517,1.12516,1500000,1000000
