time,ask,bid,ask_volume,bid_volume
2022-02-08 14:45:00.005000,3.96604,3.96335,1800000,1200000
2022-02-08 14:45:00.346000,3.96603,3.96346,1800000,1200000
2022-02-08 14:45:00.397000,3.96604,3.96345,1800000,1200000
2022-02-08 14:45:00.447000,3.96604,3.96345,1800000,1200000
2022-02-08 14:45:00.635000,3.96603,3.96346,1800000,1200000
2022-02-08 14:45:01.664000,3.96614,3.96365,1800000,1200000
2022-02-08 14:45:02.112000,3.96604,3.96355,1800000,1200000
2022-02-08 14:45:02.591000,3.96605,3.96345,1200000,1200000
2022-02-08 14:45:03.651000,3.96601,3.96345,1200000,1200000
2022-02-08 14:45:03.702000,3.966,3.96345,1800000,1200000
2022-02-08 14:45:05.163000,3.966,3.96345,1800000,1200000
2022-02-08 14:45:05.357000,3.96594,3.96335,1800000,1200000
2022-02-08 14:45:05.860000,3.96593,3.96336,1800000,1200000
2022-02-08 14:45:07.252000,3.96581,3.96325,1200000,1200000
2022-02-08 14:45:07.303000,3.9658,3.96325,1800000,1200000
2022-02-08 14:45:07.481000,3.9657,3.96315,1800000,1200000
2022-02-08 14:45:07.604000,3.9657,3.96315,1800000,1200000
2022-02-08 14:45:08.641000,3.96573,3.96316,1800000,1200000
2022-02-08 14:45:09.194000,3.96573,3.96316,1800000,1200000
2022-02-08 14:45:09.394000,3.96574,3.96325,1800000,1200000
2022-02-08 14:45:09.594000,3.96584,3.96325,1800000,1200000
2022-02-08 14:45:10.930000,3.96564,3.96335,1800000,1200000
2022-02-08 14:45:11.776000,3.96564,3.96345,1800000,1200000
2022-02-08 14:45:11.904000,3.96564,3.96345,1800000,1200000
2022-02-08 14:45:12.073000,3.96564,3.96335,1800000,1200000
2022-02-08 14:45:12.270000,3.96584,3.96343,1800000,1200000
2022-02-08 14:45:12.422000,3.96588,3.96361,1200000,1200000
2022-02-08 14:45:12.472000,3.96588,3.96362,1200000,1200000
2022-02-08 14:45:12.674000,3.96587,3.96326,1200000,1200000
2022-02-08 14:45:12.841000,3.96588,3.96363,1200000,1200000
2022-02-08 14:45:13.182000,3.96614,3.96326,1200000,1200000
2022-02-08 14:45:13.458000,3.96604,3.96325,1800000,1200000
2022-02-08 14:45:13.509000,3.96604,3.96315,1800000,1200000
2022-02-08 14:45:13.609000,3.96603,3.96346,1800000,1200000
2022-02-08 14:45:13.761000,3.96599,3.96345,1200000,1200000
2022-02-08 14:45:13.812000,3.96595,3.96354,1200000,1200000
2022-02-08 14:45:14.537000,3.96583,3.96356,1800000,1200000
2022-02-08 14:45:14.737000,3.96584,3.96358,1800000,1200000
2022-02-08 14:45:15.312000,3.96584,3.96345,1800000,1200000
2022-02-08 14:45:15.413000,3.96584,3.96345,1800000,1200000
2022-02-08 14:45:15.514000,3.96583,3.96316,1800000,1200000
2022-02-08 14:45:15.720000,3.96564,3.96315,1800000,1200000
2022-02-08 14:45:15.938000,3.96564,3.96368,1800000,1200000
2022-02-08 14:45:16.465000,3.96583,3.96369,1200000,1200000
2022-02-08 14:45:17.818000,3.96574,3.96368,1800000,1200000
2022-02-08 14:45:19.975000,3.96573,3.96369,1800000,1200000
2022-02-08 14:45:23.199000,3.96548,3.96369,1200000,1200000
2022-02-08 14:45:23.397000,3.96564,3.96368,1800000,1200000
2022-02-08 14:45:25.771000,3.96559,3.96369,1800000,1200000
2022-02-08 14:45:28.224000,3.96534,3.96368,1800000,1200000
2022-02-08 14:45:28.424000,3.96554,3.96368,1800000,1200000
2022-02-08 14:45:32.001000,3.96553,3.96369,1800000,1200000
2022-02-08 14:45:33.710000,3.96544,3.96368,1200000,1200000
2022-02-08 14:45:34.609000,3.96551,3.96368,1200000,1200000
2022-02-08 14:45:34.810000,3.96514,3.96368,1800000,1200000
2022-02-08 14:45:35.172000,3.96514,3.96368,1800000,1200000
2022-02-08 14:45:35.459000,3.96534,3.96368,1800000,1200000
2022-02-08 14:45:41.665000,3.96533,3.96369,1800000,1200000
2022-02-08 14:45:45.229000,3.96533,3.96369,1800000,1200000
2022-02-08 14:45:45.725000,3.96534,3.96368,1800000,1200000
2022-02-08 14:45:46.731000,3.96533,3.96369,1800000,1200000
2022-02-08 14:45:48.049000,3.96534,3.96368,1200000,1200000
2022-02-08 14:45:48.569000,3.96543,3.96369,1800000,1200000
2022-02-08 14:45:49.852000,3.96554,3.96368,1800000,1200000
2022-02-08 14:45:56.120000,3.96564,3.96368,1800000,1200000
2022-02-08 14:45:59.302000,3.96543,3.96369,1800000,1200000
2022-02-08 14:46:02.109000,3.96544,3.96368,1800000,1200000
2022-02-08 14:46:02.715000,3.9657,3.96369,1200000,1200000
2022-02-08 14:46:03.886000,3.96553,3.96369,1800000,1200000
2022-02-08 14:46:06.036000,3.96543,3.96369,1800000,1200000
2022-02-08 14:46:08.113000,3.96553,3.96366,1800000,1200000
2022-02-08 14:46:08.164000,3.96553,3.96374,1800000,1200000
2022-02-08 14:46:08.553000,3.96575,3.96376,1200000,1200000
2022-02-08 14:46:08.604000,3.96582,3.96386,1200000,1200000
2022-02-08 14:46:09.273000,3.96572,3.96373,1200000,1200000
2022-02-08 14:46:11.824000,3.96573,3.96373,1800000,1200000
2022-02-08 14:46:12.256000,3.96584,3.96382,1800000,1200000
2022-02-08 14:46:12.862000,3.96574,3.96382,1800000,1200000
2022-02-08 14:46:13.020000,3.96574,3.96382,1800000,1200000
2022-02-08 14:46:15.187000,3.96579,3.96377,1200000,1200000
